2018/05/11 00:46:58      Activity: Searched Results for "shirt" Inserted | Item #: 1289583 | Name: UA Threadborne Siro | Wear: Men’s  Short Sleeve Shirt | Price: $29.99 | Colors: 6  
2018/05/11 00:46:58      Activity: Searched Results for "shirt" Inserted | Item #: 1257468 | Name: UA HeatGear® Armour Compression Shirt | Wear: Men’s  Short Sleeve Shirt | Price: $27.99 | Colors: 8  
2018/05/11 00:46:58      Activity: Searched Results for "shirt" Inserted | Item #: 1257471 | Name: UA HeatGear® Armour Compression Shirt | Wear: Men’s  Long Sleeve Shirt | Price: $34.99 | Colors: 8  
2018/05/11 00:46:58      Activity: Searched Results for "shirt" Inserted | Item #: 1228539 | Name: UA Tech™ | Wear: Men’s  Short Sleeve Shirt | Price: $24.99 | Colors: 8  
2018/05/11 00:46:58      Activity: Searched Results for "shirt" Inserted | Item #: 1289587 | Name: UA Threadborne Siro V-Neck | Wear: Men’s Short Sleeve Shirt | Price: $29.99 | Colors: 6  
2018/05/11 00:46:58      Activity: Searched Results for "shirt" Inserted | Item #: 1257616 | Name: UA Charged Cotton® Left Chest Lockup | Wear: Men’s  Short Sleeve Shirt | Price: $24.99 | Colors: 8  
2018/05/11 00:46:58      Activity: Searched Results for "shirt" Inserted | Item #: 1289596 | Name: UA Seamless | Wear: Men’s  Short Sleeve Shirt | Price: $39.99 | Colors: 3  
2018/05/11 00:46:58      Activity: Searched Results for "shirt" Inserted | Item #: 1257468 | Name: UA HeatGear® Armour Compression Shirt | Wear: Men’s  Short Sleeve Shirt | Price: $16.7 | Colors: 7  
2018/05/11 00:46:58      Activity: Searched Results for "shirt" Inserted | Item #: 1289583 | Name: UA Threadborne Siro | Wear: Men’s  Short Sleeve Shirt | Price: $17.9 | Colors: 5  
2018/05/11 00:46:58      Activity: Searched Results for "shirt" Inserted | Item #: 1289586 | Name: UA Threadborne Siro Twist | Wear: Men’s  Short Sleeve Shirt | Price: $17.99 - $22.9 | Colors: 8  
2018/05/11 00:46:58      Activity: Searched Results for "shirt" Inserted | Item #: 1257471 | Name: UA HeatGear® Armour Compression Shirt | Wear: Men’s  Long Sleeve Shirt | Price: $18.99 - $20.9 | Colors: 7  
2018/05/11 00:46:58      Activity: Searched Results for "shirt" Inserted | Item #: 1228539 | Name: UA Tech™ | Wear: Men’s  Short Sleeve Shirt | Price: $19.9 | Colors: 5  
2018/05/11 00:46:58      Activity: Searched Results for "shirt" Inserted | Item #: 1299461 | Name: UA Big Logo Hybrid Printed | Wear: Boys’ Short Sleeve Shirt | Price: $12.50 - $18.9 | Colors: 1  
2018/05/11 00:46:58      Activity: Searched Results for "shirt" Inserted | Item #: 1289587 | Name: UA Threadborne Siro V-Neck | Wear: Men’s Short Sleeve Shirt | Price: $17.9 | Colors: 6  
2018/05/11 00:46:58      Activity: Searched Results for "shirt" Inserted | Item #: 1257616 | Name: UA Charged Cotton® Left Chest Lockup | Wear: Men’s  Short Sleeve Shirt | Price: $18.7 | Colors: 2  
2018/05/11 00:46:58      Activity: Searched Results for "shirt" Inserted | Item #: 1289596 | Name: UA Seamless | Wear: Men’s  Short Sleeve Shirt | Price: $18.99 - $29.9 | Colors: 5  
2018/05/11 00:46:58      Activity: Searched Results for "shirt" Inserted | Item #: 1257466 | Name: UA Raid | Wear: Men’s  Short Sleeve Shirt | Price: $29.99 | Colors: 6  
2018/05/11 00:46:58      Activity: Searched Results for "shirt" Inserted | Item #: 1290672 | Name: UA Big Logo | Wear: Women’s Short Sleeve Shirt | Price: $24.99 | Colors: 1
2018/05/11 00:46:58      Activity: Searched Results for "shirt" Inserted | Item #: 1265929 | Name: UA Wordmark | Wear: Men’s  Graphic T-Shirt | Price: $24.99 | Colors: 1
2018/05/11 00:46:58      Activity: Searched Results for "shirt" Inserted | Item #: 1289650 | Name: UA Threadborne Train Twist V-Neck | Wear: Women’s Short Sleeve Shirt | Price: $29.99 | Colors: 9  
2018/05/11 00:46:58      Activity: Searched Results for "shirt" Inserted | Item #: 1253534 | Name: UA Tech™ V-Neck | Wear: Men’s  Short Sleeve Shirt | Price: $24.99 | Colors: 5  
2018/05/11 00:46:58      Activity: Searched Results for "shirt" Inserted | Item #: 1307591 | Name: UA Threadborne™ Twist ½ Zip | Wear: Women’s Long Sleeve Shirt | Price: $49.99 | Colors: 5  
2018/05/11 00:46:58      Activity: Searched Results for "shirt" Inserted | Item #: 1257466 | Name: UA Raid | Wear: Men’s  Short Sleeve Shirt | Price: $17.99 - $22.4 | Colors: 4  
2018/05/11 00:46:58      Activity: Searched Results for "shirt" Inserted | Item #: 1265929 | Name: UA Wordmark | Wear: Men’s  Graphic T-Shirt | Price: $17.9 | Colors: 2  
2018/05/11 00:46:58      Activity: Searched Results for "shirt" Inserted | Item #: 1255839 | Name: UA Tech™ V-Neck | Wear: Women’s Short Sleeve Shirt | Price: $18.7 | Colors: 3  
2018/05/11 00:46:58      Activity: Searched Results for "shirt" Inserted | Item #: 1289584 | Name: UA Threadborne Siro Embossed | Wear: Men’s  Short Sleeve Shirt | Price: $17.9 | Colors: 7  
2018/05/11 00:46:58      Activity: Searched Results for "shirt" Inserted | Item #: 1290097 | Name: UA Hybrid Big Logo | Wear: Boys’ Short Sleeve Shirt | Price: $12.5 | Colors: 7  
2018/05/11 00:46:58      Activity: Searched Results for "shirt" Inserted | Item #: 1271823 | Name: UA Threadborne Streaker | Wear: Men’s  Running Short Sleeve Shirt | Price: $29.99 | Colors: 8  
2018/05/11 00:46:58      Activity: Searched Results for "shirt" Inserted | Item #: 1258568 | Name: UA Tech™ V-Neck - Twist | Wear: Women’s Short Sleeve Shirt | Price: $18.7 | Colors: 3  
